Country,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
IND,Climate Watch,Energy,N2O,8.2359,8.5229,8.6764,8.9361,9.2147,9.5543,9.9251,10.1379,10.2764,10.5746,10.8351,11.0566,11.2585,11.4271,11.9753,12.4437,12.9619,13.8968,14.6393,15.5349,16.4052,17.0926,18.0768,18.6837,19.7841,20.2806,20.733,21.966,23.0459,22.8978,21.6177,23.3151
IND,Climate Watch,Electricity/Heat,N2O,0.9714,1.0866,1.1725,1.3028,1.352,1.5406,1.6432,1.6899,1.7497,1.9106,2.0372,2.103,2.1301,2.2252,2.4762,2.5673,2.7768,3.0719,3.1925,3.514,3.6984,3.939,4.6107,4.756,5.3554,5.2431,5.3981,5.8634,6.3183,6.1863,5.7686,6.3083
IND,Climate Watch,Building,N2O,4.5096,4.5388,4.5615,4.5885,4.6306,4.6645,4.6993,4.7459,4.7529,4.7912,4.8184,4.7671,4.8163,4.8614,4.8946,4.942,4.9879,5.0378,5.0877,5.1393,5.1881,5.2615,5.2565,5.2532,5.2478,5.2424,5.2329,5.2207,5.2182,5.2127,5.2043,5.202
IND,Climate Watch,Manufacturing/Construction,N2O,1.223,1.3048,1.326,1.3784,1.4997,1.4694,1.5734,1.6712,1.715,1.729,1.7633,1.9136,1.9444,1.9249,2.0518,2.1912,2.3741,2.5542,2.6609,2.8804,3.1987,3.3494,3.3712,3.7222,3.9659,4.1197,4.2619,4.5791,4.8692,4.8565,4.9518,5.3552
IND,Climate Watch,Transportation,N2O,1.4528,1.4993,1.5243,1.5779,1.6289,1.7723,1.8947,1.9052,1.9651,2.0342,2.113,2.1706,2.258,2.2791,2.4166,2.6095,2.6919,3.1203,3.4859,3.7978,4.1168,4.391,4.6486,4.7806,5.0308,5.4902,5.6487,6.1032,6.4335,6.4407,5.5044,6.2358
IND,Climate Watch,Other Fuel Combustion,N2O,0.0791,0.0934,0.0921,0.0885,0.1035,0.1075,0.1145,0.1257,0.0937,0.1096,0.1032,0.1023,0.1097,0.1365,0.1361,0.1337,0.1312,0.1126,0.2123,0.2034,0.2032,0.1517,0.1898,0.1717,0.1842,0.1852,0.1914,0.1996,0.2067,0.2016,0.1886,0.2138
IND,Climate Watch,Fugitive Emissions,N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,Climate Watch,Industrial Processes,N2O,2.454214898,2.511161173,2.568107449,2.625053724,2.682,2.870733333,3.059466667,3.2482,3.436933333,3.625666667,3.8144,3.674638,3.534876,3.395114,3.255352,3.11559,2.975828,2.836066,2.696304,2.556542,2.41678,2.504063104,2.591346209,2.678629313,2.765912417,2.853195522,2.884504245,2.915812968,2.947121691,2.978430414,3.009739138,3.041047197
IND,Climate Watch,Agriculture,N2O,132.0742556,135.834211,139.7238262,142.908433,148.2285674,150.9024618,155.0183484,159.5145724,162.7840794,165.0312974,160.981835,164.171329,157.2132972,163.481012,168.800163,177.1936608,185.4815474,193.2983556,196.4723834,199.7807794,206.7853588,213.7146932,210.701943,210.1312134,211.551392,214.8646156,213.0598978,216.5420874,222.0235888,230.6894884,242.6269214,238.166666
IND,Climate Watch,Waste,N2O,1.898078924,1.945059193,1.992039462,2.039019731,2.086,2.395423333,2.704846667,3.01427,3.323693333,3.633116667,3.94254,4.849652,5.756764,6.663876,7.570988,8.4781,9.385212,10.292324,11.199436,12.106548,13.01366,13.18294747,13.35223495,13.52152242,13.69080989,13.86009737,14.02461064,14.18912391,14.35363719,14.51815046,14.68266373,14.83651646
IND,Climate Watch,Bunker Fuels,N2O,0.0418,0.0397,0.0403,0.0441,0.0476,0.0519,0.0541,0.0535,0.0544,0.0571,0.0587,0.0593,0.0601,0.0658,0.0738,0.079,0.092,0.1039,0.1019,0.1081,0.1138,0.1174,0.1101,0.1129,0.1164,0.1242,0.1334,0.1395,0.1466,0.1414,0.0801,0.0869
IND,Climate Watch,Land-Use Change and Forestry,N2O,2.3139402,2.3139402,2.3139402,2.3139402,2.3139402,2.3139402,0.443275,0.3797712,0.3867742,0.8108282,0.457281,0.4902398,0.332717,1.6885574,2.724912,1.6484168,1.8227468,2.9380118,1.712457,5.5382108,4.5501322,2.262118,5.3756816,3.1829976,2.604818,1.8861314,2.5194708,3.9804158,3.3030618,1.963522,1.0026806,5.7676708
IND,Climate Watch,Industrial Processes,F-Gas,1.64121822,1.984751886,2.328285553,2.67181922,3.015352886,3.358886553,4.201052059,5.043217565,5.88538307,6.727548576,7.569714082,7.745130754,7.920547427,8.095964099,8.271380772,8.446797445,9.057455421,9.668113396,10.27877137,10.88942935,11.50008732,12.28048,13.06087267,13.84126535,14.62165802,15.4020507,16.98681333,18.57157596,20.15633859,21.74110123,23.32586386,26.43295422
IND,Climate Watch,Total including LUCF,CO2,340.8302008,384.4738008,403.7193008,428.8383008,463.4516008,515.4056531,551.6237585,596.8088211,613.826578,678.8699381,715.3843101,957.1548855,989.0755789,1015.380011,1089.273287,1140.062774,1218.800968,1340.327788,1427.970808,1567.97928,1663.053478,1689.552174,1842.328868,1905.192973,2080.178198,2091.340309,2159.124976,2272.752866,2422.236666,2388.373132,2164.802137,2395.190237
IND,Climate Watch,Total including LUCF,CH4,536.180852,542.3012209,541.8623898,545.2716461,549.1977475,559.5621425,568.2748075,577.5791075,585.0215575,593.4992025,597.34072,599.00464,592.44028,601.69215,609.957795,622.3619475,631.78769,645.9065075,653.7997525,658.113335,664.6397025,669.9123766,671.8578383,674.6404549,678.3353466,683.3881557,689.0515112,691.1339742,699.6593272,702.4211377,704.9602157,713.1424959
IND,Climate Watch,Total including LUCF,N2O,146.9763896,151.1272716,155.2743133,158.8225467,164.5252076,168.0368587,171.1510367,176.2947136,180.2078803,183.6755089,180.031156,184.2424588,178.0961542,186.6556594,194.326715,202.8794676,212.6272342,223.2615574,226.7198804,235.5169802,243.171131,248.7564218,250.0980058,248.1980627,250.3970323,253.7446399,253.2214835,259.5934401,265.6733095,273.0473913,282.9397049,285.1270005
IND,Climate Watch,Total including LUCF,F-Gas,1.64121822,1.984751886,2.328285553,2.67181922,3.015352886,3.358886553,4.201052059,5.043217565,5.88538307,6.727548576,7.569714082,7.745130754,7.920547427,8.095964099,8.271380772,8.446797445,9.057455421,9.668113396,10.27877137,10.88942935,11.50008732,12.28048,13.06087267,13.84126535,14.62165802,15.4020507,16.98681333,18.57157596,20.15633859,21.74110123,23.32586386,26.43295422
